,meaning1,meaning2,meaning1_clean,meaning2_clean,realizations
1230,nose,cape,nose,cape,13
1231,nose,corner,nose,corner,1
1232,nose,end,nose,end,2
1233,nose,front part,nose,front part,14
1234,nose,informer,nose,informer,1
1235,nose,muzzle,nose,muzzle,4
1236,nose,nostril,nose,nostril,9
1237,nose,penis,nose,penis,1
1238,nose,sense of smell,nose,sense of smell,6
1239,nose,sharp point,nose,sharp point,1
1240,nose,snot,nose,snot,3
1241,now,recently,now,recently,1
1242,now,soon,now,soon,2
1243,number,date,number,date,2
1244,"nut, hazel",potato,nut or hazel,potato,1
1245,"nut, hazel",testicle,nut or hazel,testicle,2
1246,oar,to row (with oars),oar,to row with oars,1
1247,ocean,foreign,ocean,foreign,1
1248,official (n.),dragonfly,official ,dragonfly,1
1249,oil (food),"petroleum, oil",oil food,petroleum or oil,2
1250,old man,husband,old man,husband,9
1251,old man,king (a playing card),old man,king a playing card,1
1252,old man/grandfather,bear (Ursus),old man or grandfather,bear ,15
1253,old woman,wife,old woman,wife,9
1254,omen,monster (abnormal creature),omen,monster abnormal creature,2
1255,one (unit),ace (playing card),one unit,ace playing card,3
1256,one (unit),"only, just",one unit,only or just,1
1257,onion,potato,onion,potato,1
1258,"only, just","but, however",only or just,but or however,3
1259,open (adj.),frank,open ,frank,4
1260,open (adj.),light (of colour),open ,light of color,5
1261,"opening, hole",defect,opening or hole,defect,1
1262,"opening, hole",genitalia,opening or hole,genitalia,1
1263,opposite,"false, wrong",opposite,false or wrong,1
1264,organ (anatomy),"agency, authority",organ anatomy,agency or authority,2
1265,orphan,farm laborer,orphan,farm laborer,3
1266,orphan,unique,orphan,unique,1
1267,other,friend,other,friend,1
1268,other,hostile,other,hostile,1
1269,other,left,other,left,1
1270,overcoat,fool,overcoat,fool,2
1271,owl,police officer,owl,police officer,1
1272,owner,husband,owner,husband,7
1273,owner,spirit,owner,spirit,4
1274,owner,tiger,owner,tiger,2
1275,owner,wife,owner,wife,3
1276,owner,woodland spirit,owner,woodland spirit,1
1277,"owre, buffalo (Bubalus bubalis)",old man, buffalo  ,old man,1
1278,pain,disease,pain,disease,1
1279,pain,very,pain,very,1
1280,"paint, dye (n.)",colour,paint or dye ,color,9
1281,palace,transport station,palace,transport station,2
1282,palm (body part),destiny,palm body part,destiny,1
1283,palm (body part),palm (tree),palm body part,palm tree,9
1284,palm (body part),threshing floor,palm body part,threshing floor,1
1285,paper,book (n.),paper,book ,2
1286,paper,document (n.),paper,document ,12
1287,paper,playing cards,paper,playing cards,2
1288,part,beloved,part,beloved,2
1289,part,body part,part,body part,2
1290,part,byte,part,byte,1
1291,part,destiny,part,destiny,15
1292,part,relative (n.),part,relative ,1
1293,participant in the ritual wedding procession,young man,participant in the ritual wedding procession,young man,1
1294,pass (document allowing admission),letter (text),pass document allowing admission,letter text,1
1295,pawn (in chess),"puppet, lay figure",pawn in chess,puppet or lay figure,2
1296,pea,hail,pea,hail,1
1297,pear,electric lamp,pear,electric lamp,1
1298,pear,fool,pear,fool,1
1299,pear,potato,pear,potato,2
1300,"pellicle, membrane",cataract (of the eye),pellicle or membrane,cataract of the eye,3
1301,"pellicle, membrane",cloud,pellicle or membrane,cloud,1
1302,"pellicle, membrane","film, movie",pellicle or membrane,film or movie,5
1303,pericarp of a lotus,middle finger,pericarp of a lotus,middle finger,3
1304,period of time,age,period of time,age,8
1305,period of time,destiny,period of time,destiny,1
1306,person,husband,person,husband,1
1307,person,person (grammar),person,person grammar,12
1308,person,servant,person,servant,5
1309,person of small stature,Japanese,person of small stature,Japanese,1
1310,phosphorus,match (for fire),phosphorus,match for fire,4
1311,pig (Sus scrofa),animal,pig Sus ,animal,1
1312,pig (Sus scrofa),bad person,pig Sus ,bad person,7
1313,pig (Sus scrofa),barbel,pig Sus ,barbel,1
1314,pig (Sus scrofa),glutton,pig Sus ,glutton,2
1315,pig (Sus scrofa),haystack,pig Sus ,haystack,1
1316,pig (Sus scrofa),police officer,pig Sus ,police officer,3
1317,pig (Sus scrofa),slattern,pig Sus ,slattern,13
1318,pigeon (Columba),maize,pigeon ,maize,1
1319,pigeon (Columba),moth,pigeon ,moth,2
1320,pillow,birch bolete (Leccinum scabrum),pillow,birch bolete  ,1
1321,pilot sucker,creditor,pilot sucker,creditor,1
1322,pimple,nipple (part of the breast),pimple,nipple part of the breast,1
1323,pink,good,pink,good,2
1324,pink,happy,pink,happy,3
1325,pit,prison,pit,prison,2
1326,pit,tomb,pit,tomb,14
1327,plant (biol.),(gun)powder,plant ,gunpowder,3
1328,plant (biol.),"drug, medicine",plant ,drug or medicine,4
1329,"plough, ard",unit of area,plow or ard,unit of area,1
1330,plum,tonsil,plum,tonsil,1
1331,poetry,"false, wrong",poetry,false or wrong,1
1332,poison,anger,poison,anger,2
1333,poisonous,magic,poisonous,magic,1
1334,poisonous,sarcastic,poisonous,sarcastic,5
1335,pole (long stick),boss,pole long stick,boss,1
1336,pole (long stick),tall person,pole long stick,tall person,3
1337,police officer,jack (playing card),police officer,jack playing card,1
1338,poor,"rude, impolite",poor,rude or impolite,1
1339,poor,unhappy,poor,unhappy,8
1340,pope,ruff (fish),pope,ruff fish,1
1341,poplar (Populus alba),abies (Abies),poplar Populus alba,fir fir,1
1342,potato,testicle,potato,testicle,2
1343,"power, authority","country, land",power or authority,country or land,3
1344,powerless,furious,powerless,furious,3
1345,"precipice, abyss",hell,precipice or abyss,hell,2
1346,predator,wolf,predator,wolf,1
1347,pregnant,fraught with consequences,pregnant,fraught with consequences,3
1348,"present, gift",talent,present or gift,talent,3
1349,price,honour,price,honor,3
1350,priest (Christianity),Boletus edulis,priest Christianity,penny bun fungus,1
1351,priest (Christianity),dandelion,priest Christianity,dandelion,2
1352,priest (Christianity),dung-beetle,priest Christianity,dung beetle,1
1353,priest (Christianity),king (a playing card),priest Christianity,king a playing card,2
1354,promise (n.),will (legal document),promise ,will legal document,2
1355,prophet,mantis,prophet,mantis,2
1356,pumpkin,diamonds (in cards),pumpkin,diamonds in cards,1
1357,puppy (of a dog),clove (of a garlic),puppy of a dog,clove of a garlic,1
1358,puppy (of a dog),inexperienced,puppy of a dog,inexperienced,9
1359,pure,frank,pure,frank,1
1360,pure,"genuine, true",pure,genuine or true,1
1361,pure,good,pure,good,2
1362,pure,honest,pure,honest,1
1363,pure,husband,pure,husband,1
1364,pure,"naked, bare",pure,naked or bare,1
1365,queen,queen (playing card),queen,queen playing card,1
1366,quick,good,quick,good,1
1367,quick,hare (Lepus),quick,hare ,1
1368,quick,hot-tempered,quick,hot tempered,2
1369,quick,swift (bird),quick,swift bird,1
1370,quick,urgent,quick,urgent,2
1371,quick,very,quick,very,1
1372,quiet (vs. loud),slow (adj.),quiet ,slow ,10
1373,"rag, duster (?)",clothes,rag or duster ,clothes,2
1374,"rag, duster (?)",whore,rag or duster ,whore,1
1375,rainbow,iris (anatomy),rainbow,iris anatomy,1
1376,ram,battering-ram,ram,battering ram,9
1377,ram,brave person,ram,brave person,1
1378,raw,"false, wrong",raw,false or wrong,2
1379,raw,inexperienced,raw,inexperienced,3
1380,raw,"rude, impolite",raw,rude or impolite,5
1381,ready,enough,ready,enough,4
1382,red,arterial,red,arterial,1
1383,red,beautiful,red,beautiful,5
1384,red,"naked, bare",red,naked or bare,1
1385,red,newborn baby,red,newborn baby,1
1386,red,rich,red,rich,1
1387,red,socialist or communist,red,socialist or communist,11
1388,reed,penis,reed,penis,1
1389,reed,reed (in loom),reed,reed in loom,2
1390,rhinoceros,tank (armour),rhinoceros,tank armor,1
1391,rib,"mountain ridge, edge",rib,mountain ridge or edge,1
1392,rib,mountain slope,rib,mountain slope,1
1393,rib,reed (in loom),rib,reed in loom,1
1394,rib,rib (part of a ship’s framework),rib,rib part of a ship’s framework,1
1395,rib,side (n.),rib,side ,1
1396,rib,spouse,rib,spouse,1
1397,rich,numerous,rich,numerous,2
1398,ridgepole,middle finger,ridge pole,middle finger,1
1399,right (vs. left),best,right ,best,1
1400,right (vs. left),polite,right ,polite,1
1401,right (vs. left),right (political),right ,right political,10
1402,right (vs. left),south,right ,south,9
1403,river,Milky Way,river,milky Way,1
1404,road,Milky Way,road,milky Way,1
1405,road,"manner, way",road,manner or way,23
1406,road,"meaning, sense",road,meaning or sense,1
1407,road,"rule, regulations",road,rule or regulations,1
1408,room,cell (in biology),room,cell in biology,11
1409,room,cell (of honeycomb),room,cell of honeycomb,3
1410,room,house,room,house,2
1411,rooster,brave person,rooster,brave person,3
1412,rooster,bully,rooster,bully,6
1413,rooster,chanterelle,rooster,chanterelle,1
1414,rooster,cock (of a gun),rooster,cock of a gun,18
1415,rooster,penis,rooster,penis,2
1416,rooster,"tap, faucet",rooster,tap or faucet,6
1417,root (of a plant),basis,root of a plant,basis,18
1418,root (of a plant),book back,root of a plant,book back,1
1419,root (of a plant),breed,root of a plant,breed,2
1420,root (of a plant),courage,root of a plant,courage,1
1421,root (of a plant),family,root of a plant,family,2
1422,root (of a plant),mountain foot,root of a plant,mountain foot,3
1423,root (of a plant),origin,root of a plant,origin,8
1424,root (of a plant),root (arithmetic),root of a plant,root arithmetic,1
1425,root (of a plant),root of equation,root of a plant,root of equation,1
1426,root (of a plant),root of tooth,root of a plant,root of tooth,1
1427,"rope, string, cord, lashing","duty, responsibility",rope or string or cord or lashing,duty or responsibility,2
1428,"rope, string, cord, lashing",snake,rope or string or cord or lashing,snake,1
1429,"rope, string, cord, lashing",split (gymnastics),rope or string or cord or lashing,split gymnastics,4
1430,"rope, string, cord, lashing",unit of length,rope or string or cord or lashing,unit of length,6
1431,rose,erysipelas,rose,erysipelas,2
1432,rotten,lazy,rotten,lazy,1
1433,rotten,unreliable,rotten,unreliable,1
1434,"rough, uneven",difficult,rough or uneven,difficult,2
1435,"rough, uneven","rude, impolite",rough or uneven,rude or impolite,10
1436,"rough, uneven",sour,rough or uneven,sour,1
1437,round (adj.),entire,round ,entire,4
1438,round (adj.),lovely,round ,lovely,1
1439,ruff,ruff (bird),ruff,ruff bird,1
1440,ruff,ruff (fish),ruff,ruff fish,1
1441,runner,millstone,runner,millstone,2
1442,runner,shuttle (weaving instrument),runner,shuttle weaving instrument,1
1443,rural,vulgar,rural,vulgar,6
1444,rust (n.),defect,rust ,defect,1
1445,rusty,bad,rusty,bad,1
1446,"sack, bag",head,sack or bag,head,1
1447,"sack, bag",scrotum,sack or bag,scrotum,8
1448,sacred,sacrum (bone),sacred,sacrum bone,5
1449,saddle,saddleback,saddle,saddleback,1
1450,saint,"devil, satan",saint,devil or satan,1
1451,salt,"meaning, sense",salt,meaning or sense,2
1452,salt,sea,salt,sea,9
1453,sand,coast,sand,coast,1
1454,sand,"many, much",sand,many or much,1
1455,sated by food,drunk,sated by food,drunk,1
1456,sated by food,to be fed up with,sated by food,to be fed up with,2
1457,"satiated, full",insolent,satiated or full,insolent,4
1458,"satiated, full",rich,satiated or full,rich,2
1459,"satiated, full",saturated (with something),satiated or full,saturated with something,1
1460,"satiated, full",to be sure,satiated or full,to be sure,1
1461,saw,"mountain ridge, edge",saw,mountain ridge or edge,1
1462,"scales,  weighing machine",testicle,scales or  weighing machine,testicle,1
1463,"scanty, not numerous",low (social),scanty or not numerous,low social,1
1464,"scanty, not numerous",stupid,scanty or not numerous,stupid,1
1465,"scanty, not numerous",tasteless,scanty or not numerous,tasteless,1
1466,scorpion,hand (of a clock),scorpion,hand of a clock,2
1467,"screw, screw-bolt","joint, articulation",screw or screw bolt,joint or articulation,1
1468,sediment,lumpen,sediment,lumpen,4
1469,sediment,something bad,sediment,something bad,1
1470,servant,I,servant,I,8
1471,servant,jack (playing card),servant,jack playing card,5
1472,shadow,"phantom, ghost",shadow,phantom or ghost,8
1473,shadow,"protection, patronage",shadow,protection or patronage,2
1474,shadow,"reflection (in the mirror, water)",shadow,reflection in the mirror or water,3
1475,shadow theatre,cinema,shadow theater,cinema,1
1476,shallow,light (of colour),shallow,light of color,1
1477,shallow,poor,shallow,poor,1
1478,shame,genitalia,shame,genitalia,7
1479,"shape, form","figure, stature",shape or form,figure or stature,1
1480,shapeless,"ugly, unpleasant",shapeless,ugly or unpleasant,5
1481,sharp,acute (of sound),sharp,acute of sound,7
1482,sharp,angry,sharp,angry,5
1483,sharp,bad,sharp,bad,1
1484,sharp,bitter,sharp,bitter,3
1485,sharp,clever,sharp,clever,13
1486,sharp,dangerous,sharp,dangerous,1
1487,sharp,hot,sharp,hot,2
1488,sharp,iron,sharp,iron,1
1489,sharp,keen (of senses),sharp,keen of senses,10
1490,sharp,passionate,sharp,passionate,2
1491,sharp,pungent (odour),sharp,pungent odor,8
1492,sharp,sad,sharp,sad,1
1493,sharp,severe,sharp,severe,4
1494,sharp,severe (about pain),sharp,severe about pain,2
1495,sharp,sharpshooter,sharp,sharpshooter,1
1496,sharp,spicy,sharp,spicy,14
1497,sharp,steep,sharp,steep,1
1498,sharp,strong,sharp,strong,5
1499,sharp,strong (of liquid or smell),sharp,strong of liquid or smell,1
1500,sharp,valid,sharp,valid,1
1501,sharp point,boss,sharp point,boss,1
1502,sharpshooter,clever,sharpshooter,clever,2
1503,sheep,"kind, good-hearted",sheep,kind or good hearted,1
1504,shell,money,shell,money,3
1505,shell,sink (basin for holding water for washing),shell,sink basin for holding water for washing,1
1506,shell,spoon,shell,spoon,3
1507,shepherd,fool,shepherd,fool,1
1508,shield,plaice (fish),shield,plaice fish,1
1509,shoal,troop (of animals),shoal,troop of animals,7
1510,shooter,bishop (chess),shooter,bishop chess,1
1511,short (size),brief,short size,brief,15
1512,short (size),"missing, failing",short size,missing or failing,1
1513,short (size),poor,short size,poor,1
1514,shoulder,branch (of a river),shoulder,branch of a river,4
1515,shoulder,degree (unit of measurement),shoulder,degree unit of measurement,1
1516,shoulder,"help, aid (n.)",shoulder,help or aid ,1
1517,shoulder,mountain slope,shoulder,mountain slope,5
1518,shoulder,support (n.),shoulder,support ,1
1519,"shout, scream",unit of length,shout or scream,unit of length,1
1520,"shrimp, prawn",clove (of a garlic),shrimp or prawn,clove of a garlic,1
1521,shuttle (weaving instrument),geometrid,shuttle weaving instrument,geometrid,1
1522,shuttle (weaving instrument),shuttle (in a sewing machine),shuttle weaving instrument,shuttle in a sewing machine,1
1523,sickle,July,sickle,July,1
1524,sickle,harvest time,sickle,harvest time,3
1525,side (n.),cheek,side ,cheek,1
1526,side (n.),"country, land",side ,country or land,1
1527,side (n.),page,side ,page,11
1528,side (n.),political party,side ,political party,2
1529,sieve (n.),pure,sieve ,pure,1
1530,"sign, designation","betrothal, engagement",sign or designation,betrothal or engagement,1
1531,"sign, designation",genitalia,sign or designation,genitalia,3
1532,"sign, designation",miracle,sign or designation,miracle,3
1533,silver,bear (Ursus),silver,bear ,1
1534,silver,nickel,silver,nickel,1
1535,silver,tin (n.),silver,tin ,1
1536,simple,stupid,simple,stupid,2
1537,simultaneously,immediately,simultaneously,immediately,1
1538,sin,foreskin,sin,foreskin,1
1539,sin,misfortune,sin,misfortune,1
1540,single-eyed,squint-eyed,single eyed,squint eyed,1
1541,sizing tool,"rule, regulations",sizing tool,rule or regulations,8
1542,skin (of a person),torso,skin of a person,torso,1
1543,skirt,whore,skirt,whore,1
1544,skirt,woman,skirt,woman,6
1545,sky,bed canopy,sky,bed canopy,6
1546,sky,dead (adj.),sky,dead ,1
1547,sky,destiny,sky,destiny,3
1548,sleeve,branch (of a river),sleeve,branch of a river,4
1549,slow (adj.),meek,slow ,meek,1
1550,slow (adj.),stupid,slow ,stupid,2
1551,smell (n.),fame,smell ,fame,2
1552,smell (n.),"perfume, scent",smell ,perfume or scent,3
1553,smoke,abberation of mind,smoke,abberation of mind,2
1554,smoke,arrogance,smoke,arrogance,3
1555,smoke,dust,smoke,dust,2
1556,smoke,house,smoke,house,3
1557,smooth,thick,smooth,thick,1
1558,snail,spiral,snail,spiral,1
1559,snake,eel (Anguilla anguilla),snake,eel  ,1
1560,snake,"guileful, crafty person",snake,guileful or crafty person,6
1561,snake,hose,snake,hose,1
1562,snake,lamprey (Petromyzontidae),snake,lamprey ,1
1563,snake,otter (Lutra lutra),snake,otter otter otter,1
1564,snake,queue,snake,queue,1
1565,sod (stratum of soil),oath,sod stratum of soil,oath,1
1566,soft (adj.),coward,soft ,coward,1
1567,soft (adj.),lenient,soft ,lenient,1
1568,soft (adj.),not strong (of liquid or smell),soft ,not strong of liquid or smell,2
1569,soft (adj.),quiet (vs. loud),soft ,quiet ,1
1570,soft (adj.),tasteless,soft ,tasteless,1
1571,soft (adj.),tender (adj.),soft ,tender ,14
1572,soldier,jack (playing card),soldier,jack playing card,1
1573,soldier,pawn (in chess),soldier,pawn in chess,25
1574,soldier,police officer,soldier,police officer,2
1575,soldier,"soldier (plan, Stratiotes)",soldier,soldier plan or ,1
1576,"sole, unique",best,sole or unique,best,1
1577,son,soldier,son,soldier,1
1578,soon,almost,soon,almost,4
1579,soul,butterfly,soul,butterfly,2
1580,soul,person,soul,person,10
1581,soul,"phantom, ghost",soul,phantom or ghost,3
1582,sound,fame,sound,fame,3
1583,sour,angry,sour,angry,3
1584,sour,proud,sour,proud,1
1585,sour,sad,sour,sad,8
1586,south,front part,south,front part,2
1587,"spade, shovel",oar,spade or shovel,oar,7
1588,"spade, shovel","shoulder-blade, scapula",spade or shovel,shoulder blade or scapula,4
1589,spark,firefly,spark,firefly,1
1590,spear,arrow,spear,arrow,1
1591,spear,bullet,spear,bullet,1
1592,spear,sting (n.),spear,sting ,5
1593,spear,sword,spear,sword,1
1594,sphere; ball,bullet,sphere; ball,bullet,9
1595,spicy,sad,spicy,sad,1
1596,spindle,dragonfly,spindle,dragonfly,2
1597,spool,shuttle (weaving instrument),spool,shuttle weaving instrument,2
1598,spoon,tadpole,spoon,tadpole,2
1599,"spot, stain",disgrace,spot or stain,disgrace,3
1600,"spot, stain",place,spot or stain,place,2
1601,spring (season),summer,spring season,summer,1
1602,"spring, fountain",origin,spring or fountain,origin,10
1603,spruce (Picea),horsetail,spruce ,horsetail,1
1604,square (geometrical),diamonds (in cards),square geometrical,diamonds in cards,1
1605,squirrel (Sciurus),ladybird,squirrel ,ladybird,1
1606,squirrel (Sciurus),weasel (Mustella nivalis),squirrel ,weasel  nivalis,1
1607,stairs,stirrup,stairs,stirrup,2
1608,stammerer,fool,stammerer,fool,1
1609,star,North,star,North,1
1610,star,celebrity,star,celebrity,12
1611,star,destiny,star,destiny,2
1612,star,kite (lightweight toy),star,kite lightweight toy,1
1613,star,letter (character),star,letter character,1
1614,star,starfish,star,starfish,2
1615,state (condition),state (sovereign polity),state condition,state sovereign polity,1
1616,"steam, vapour",sweat,steam or vapor,sweat,1
1617,steep,insolent,steep,insolent,3
1618,stem (of a plant),"handle, gripe",stem of a plant,handle or gripe,1
1619,stem (of a plant),strain (microbiology),stem of a plant,strain microbiology,4
1620,"step (of a staircase, step-ladder)","stage, phase",step of a staircase or step ladder,stage or phase,1
1621,"step, pace",move (board games),step or pace,move board games,1
1622,"step, pace",unit of length,step or pace,unit of length,8
1623,stepson,sucker (botany),stepson,sucker botany,1
1624,stick (n.),punishment,stick ,punishment,1
1625,stick (n.),unit of length,stick ,unit of length,11
1626,still (adv.),nevertheless,still ,nevertheless,3
1627,sting (n.),penis,sting ,penis,2
1628,stomach,appetite,stomach,appetite,1
1629,stone (material),glass (material),stone material,glass material,2
1630,stone (material),sky,stone material,sky,1
1631,stone (of a fruit),"cause, reason",stone of a fruit,cause or reason,1
1632,stone (of a fruit),secret (n),stone of a fruit,secret n,1
1633,stone (piece of rock),balance weight on scale,stone piece of rock,balance weight on scale,1
1634,stone (piece of rock),bullet,stone piece of rock,bullet,2
1635,stone (piece of rock),colour,stone piece of rock,color,1
1636,stone (piece of rock),fool,stone piece of rock,fool,1
1637,stone (piece of rock),hail,stone piece of rock,hail,1
1638,stone (piece of rock),prison,stone piece of rock,prison,1
1639,stone (piece of rock),stone (of a fruit),stone piece of rock,stone of a fruit,5
1640,stone (piece of rock),testicle,stone piece of rock,testicle,3
1641,"stopper, plug",baby,stopper or plug,baby,3
1642,"stopper, plug",traffic jam,stopper or plug,traffic jam,9
1643,storehouse; depo,shop,storehouse; depo,shop,1
1644,stork (Ciconia),tall person,stork ,tall person,1
1645,storm,epidemic,storm,epidemic,1
1646,storm,scandal,storm,scandal,3
1647,storm,winter,storm,winter,4
1648,straight,correct (adj.),straight,correct ,13
1649,straight,honest,straight,honest,11
1650,straight,right (vs. left),straight,right ,4
1651,straight,to succeed,straight,to succeed,1
1652,strange,funny,strange,funny,1
1653,"stranger, foreign",strange,stranger or foreign,strange,3
1654,straw,penis,straw,penis,1
1655,street,whore,street,whore,1
1656,strength,army,strength,army,4
1657,string (of a musical instrument),chord (music),string of a musical instrument,chord music,1
1658,strong,clever,strong,clever,2
1659,strong,good,strong,good,2
1660,strong,husband,strong,husband,1
1661,strong,influential person,strong,influential person,1
1662,strong,noble,strong,noble,1
1663,strong,numerous,strong,numerous,2
1664,strong,strong (of liquid or smell),strong,strong of liquid or smell,7
1665,strong,very,strong,very,8
1666,stump (of tree),fool,stump of tree,fool,1
1667,stump (of tree),share; stock,stump of tree,share; stock,2
1668,sulfur,match (for fire),sulfur,match for fire,3
1669,summer,year,summer,year,7
1670,sun,Sunday,sun,Sunday,5
1671,sun,day,sun,day,52
1672,sun,east,sun,east,1
1673,sun,father,sun,father,1
1674,sun,"happiness, luck",sun,happiness or luck,1
1675,sun,sunflower,sun,sunflower,1
1676,sun,"watch, clock",sun,watch or clock,1
1677,sunflower,influential person,sunflower,influential person,1
1678,swallow (bird),shuttle (weaving instrument),swallow bird,shuttle weaving instrument,1
1679,sweat,blood,sweat,blood,1
1680,sweat,forehead,sweat,forehead,1
1681,sweat,work (n.),sweat,work ,3
1682,sweet (taste),fresh (of water),sweet taste,fresh of water,12
1683,sweet (taste),lovely,sweet taste,lovely,17
1684,sweet (taste),own (of a relative),sweet taste,own of a relative,1
1685,sweet (taste),to be indulgent,sweet taste,to be indulgent,1
1686,sweet potato (Ipomoea batatas),potato,sweet potato  batatas,potato,5
1687,"sweet-smelling, fragrant",good,sweet smelling or fragrant,good,2
1688,sweetheart,wife,sweetheart,wife,2
1689,swelling (on skin),potato,swelling on skin,potato,1
1690,sword,"plough, ard",sword,plow or ard,1
1691,syllable,byte,syllable,byte,1
1692,table; desk,flat (adj),table; desk,flat ,1
1693,table; desk,meal (process),table; desk,meal process,4
1694,tail,accomplice,tail,accomplice,2
1695,tail,behind,tail,behind,1
1696,tail,branch (of a river),tail,branch of a river,1
1697,tail,consequence,tail,consequence,1
1698,tail,"handle, gripe",tail,handle or gripe,4
1699,tail,navel,tail,navel,1
1700,tail,penis,tail,penis,6
1701,tail,"plait, braid",tail,plait or braid,1
1702,tail,queue,tail,queue,7
1703,tail,rear end,tail,rear end,2
1704,tail,scarf,tail,scarf,2
1705,tail,stem (of a plant),tail,stem of a plant,1
1706,tail,to follow logically,tail,to follow logically,1
1707,tail fat (of sheep),hearts (in cards),tail fat of sheep,hearts in cards,1
1708,tailed,"witch, sorceress",tailed,witch or sorceress,1
1709,tailor's thimble,foxglove (Digitalis L.),tailor's thimble,foxglove digitalis L,4
1710,tambourine,diamonds (in cards),tambourine,diamonds in cards,1
1711,tank (closed container for liquids),tank (armour),tank closed container for liquids,tank armor,1
1712,tart (taste),gloomy,tart taste,gloomy,3
1713,taste (n.),aesthetic perception,taste ,aesthetic perception,8
1714,taste (n.),inclination to smth,taste ,inclination to ,11
1715,taste (n.),intellect,taste ,intellect,2
1716,taste (n.),"profit, gain (n.)",taste ,profit or gain ,1
1717,taste (n.),smell (n.),taste ,smell ,4
1718,tasteless,boring,tasteless,boring,2
1719,tea,gratuity,tea,gratuity,1
1720,teacher,"doctor, physician",teacher,doctor or physician,1
1721,term of address to a married woman,queen (playing card),term of address to a married woman,queen playing card,1
1722,there,then,there,then,2
1723,thick,"bass, low-pitched voice",thick,bass or low pitched voice,9
1724,thick,"dense, thick (liquid)",thick,dense or thick liquid,12
1725,thick,difficult,thick,difficult,1
1726,thick,loud,thick,loud,1
1727,thick,"rough, uneven",thick,rough or uneven,1
1728,thick,strong (of liquid or smell),thick,strong of liquid or smell,1
1729,thick,stupid,thick,stupid,1
1730,thick,"thick (of a growth, hair)",thick,thick of a growth or hair,4
1731,"thick (of a growth, hair)","bass, low-pitched voice",thick of a growth or hair,bass or low pitched voice,2
1732,"thick (of a growth, hair)",intensive,thick of a growth or hair,intensive,1
1733,thin (of an object),coward,thin of an object,coward,1
1734,thin (of an object),"delicate, subtle (person, question etc.)",thin of an object,delicate or subtle person or question ,6
1735,thin (of an object),high-pitched,thin of an object,high pitched,8
1736,thin (of an object),keen (of senses),thin of an object,keen of senses,1
1737,thin (of an object),light (of colour),thin of an object,light of color,1
1738,thin (of an object),sparse,thin of an object,sparse,2
1739,thin (of an object),young,thin of an object,young,1
1740,thing,genitalia,thing,genitalia,1
1741,"this way, like this",yes,this way or like this,yes,3
1742,thousand,"many, much",thousand,many or much,4
1743,three times,very,three times,very,2
1744,threshold,limit,threshold,limit,2
1745,threshold,rapids,threshold,rapids,1
1746,throat,barrel (of a gun),throat,barrel of a gun,1
1747,throat,branch (of a river),throat,branch of a river,2
1748,throat,eater,throat,eater,1
1749,throat,mouth (of a river),throat,mouth of a river,3
1750,throat,neck (of bottle etc.),throat,neck of bottle ,5
1751,throat,ravine,throat,ravine,5
1752,thrush,coward,thrush,coward,1
1753,tick (Acarina),castor bean (Ricinus communis),tick ,castor bean  communis,2
1754,tiger,"power, authority",tiger,power or authority,1
1755,time,"one time, once",time,one time or once,2
1756,tin (n.),cataract (of the eye),tin ,cataract of the eye,1
1757,tin (n.),"tin, can",tin ,tin or can,5
1758,to accompany (music),to express agreement,to accompany music,to express agreement,1
1759,to ache,to run,to ache,to run,1
1760,to add,"to inform, let know",to add,to inform or let know,1
1761,"to adorn, decorate",to boast,to adorn or decorate,to boast,1
1762,"to adorn, decorate","to decorate, award",to adorn or decorate,to decorate or award,1
1763,"to adorn, decorate",to marry off (a daughter),to adorn or decorate,to marry off a daughter,1
1764,to anchor,to choose,to anchor,to choose,1
1765,to answer,to be responsible for,to answer,to be responsible for,4
1766,to answer,to correspond,to answer,to correspond,21
1767,"to approach, come near",to begin (tr.),to approach or come near,to begin ,4
1768,"to approach, come near",to experience an orgasm,to approach or come near,to experience an orgasm,2
1769,to arrange into a line,poetry,to arrange into a line,poetry,2
1770,to ask (for),to ask for consent to marriage,to ask for,to ask for consent to marriage,1
1771,to ask (for),"to ask, inquire",to ask for,to ask or inquire,11
1772,to ask (for),to pray,to ask for,to pray,29
1773,"to ask, inquire",to teach,to ask or inquire,to teach,1
1774,"to ask, inquire",to torture,to ask or inquire,to torture,1
1775,to awaken,to cause,to awaken,to cause,10
1776,to baptize,to dilute,to baptize,to dilute,2
1777,to bark (of a dog),to quarrel,to bark of a dog,to quarrel,18
1778,to bark (of a dog),to shout,to bark of a dog,to shout,1
1779,to bark (of a dog),to tell lie,to bark of a dog,to tell lie,4
1780,to be alike,to get along (with smb.),to be alike,to get along with ,1
1781,to be angry,"to revolt, rebel",to be angry,to revolt or rebel,2
1782,to be ashamed,to respect,to be ashamed,to respect,2
1783,to be at war,to quarrel,to be at war,to quarrel,11
1784,to be awake,ambush,to be awake,ambush,1
1785,to be awake,to guard,to be awake,to guard,2
1786,to be born,"people, nation",to be born,people or nation,2
1787,"to be busy, to act","commerce, business",to be busy or to act,commerce or business,5
1788,to be eager,to be jealous,to be eager,to be jealous,2
1789,to be enough,to cost,to be enough,to cost,1
1790,to be friends,to be keen of,to be friends,to be keen of,1
1791,to be in time,to ripen,to be in time,to ripen,1
1792,to be keen of,to grow numb,to be keen of,to grow numb,1
1793,to be separated,to die,to be separated,to die,1
