,meaning1,meaning2,meaning1_clean,meaning2_clean
1347,pregnant,fraught with consequences,pregnant,fraught with consequences
1348,"present, gift",talent,present or gift,talent
1349,price,honour,price,honor
1350,priest (Christianity),Boletus edulis,priest Christianity,penny bun fungus
1351,priest (Christianity),dandelion,priest Christianity,dandelion
1352,priest (Christianity),dung-beetle,priest Christianity,dung beetle
1353,priest (Christianity),king (a playing card),priest Christianity,king a playing card
1354,promise (n.),will (legal document),promise ,will legal document
1355,prophet,mantis,prophet,mantis
1356,pumpkin,diamonds (in cards),pumpkin,diamonds in cards
1357,puppy (of a dog),clove (of a garlic),puppy of a dog,clove of a garlic
1358,puppy (of a dog),inexperienced,puppy of a dog,inexperienced
1359,pure,frank,pure,frank
1360,pure,"genuine, true",pure,genuine or true
1361,pure,good,pure,good
1362,pure,honest,pure,honest
1363,pure,husband,pure,husband
1364,pure,"naked, bare",pure,naked or bare
1365,queen,queen (playing card),queen,queen playing card
1366,quick,good,quick,good
1367,quick,hare (Lepus),quick,hare 
1368,quick,hot-tempered,quick,hot tempered
1369,quick,swift (bird),quick,swift bird
1370,quick,urgent,quick,urgent
1371,quick,very,quick,very
1372,quiet (vs. loud),slow (adj.),quiet ,slow 
1373,"rag, duster (?)",clothes,rag or duster ,clothes
1374,"rag, duster (?)",whore,rag or duster ,whore
1375,rainbow,iris (anatomy),rainbow,iris anatomy
1376,ram,battering-ram,ram,battering ram
1377,ram,brave person,ram,brave person
1378,raw,"false, wrong",raw,false or wrong
1379,raw,inexperienced,raw,inexperienced
1380,raw,"rude, impolite",raw,rude or impolite
1381,ready,enough,ready,enough
1382,red,arterial,red,arterial
1383,red,beautiful,red,beautiful
1384,red,"naked, bare",red,naked or bare
1385,red,newborn baby,red,newborn baby
1386,red,rich,red,rich
1387,red,socialist or communist,red,socialist or communist
1388,reed,penis,reed,penis
1389,reed,reed (in loom),reed,reed in loom
1390,rhinoceros,tank (armour),rhinoceros,tank armor
1391,rib,"mountain ridge, edge",rib,mountain ridge or edge
1392,rib,mountain slope,rib,mountain slope
1393,rib,reed (in loom),rib,reed in loom
1394,rib,rib (part of a ship’s framework),rib,rib part of a ship’s framework
1395,rib,side (n.),rib,side 
1396,rib,spouse,rib,spouse
1397,rich,numerous,rich,numerous
1398,ridgepole,middle finger,ridge pole,middle finger
1399,right (vs. left),best,right ,best
1400,right (vs. left),polite,right ,polite
1401,right (vs. left),right (political),right ,right political
1402,right (vs. left),south,right ,south
1403,river,Milky Way,river,milky Way
1404,road,Milky Way,road,milky Way
1405,road,"manner, way",road,manner or way
1406,road,"meaning, sense",road,meaning or sense
1407,road,"rule, regulations",road,rule or regulations
1408,room,cell (in biology),room,cell in biology
1409,room,cell (of honeycomb),room,cell of honeycomb
1410,room,house,room,house
1411,rooster,brave person,rooster,brave person
1412,rooster,bully,rooster,bully
1413,rooster,chanterelle,rooster,chanterelle
1414,rooster,cock (of a gun),rooster,cock of a gun
1415,rooster,penis,rooster,penis
1416,rooster,"tap, faucet",rooster,tap or faucet
1417,root (of a plant),basis,root of a plant,basis
1418,root (of a plant),book back,root of a plant,book back
1419,root (of a plant),breed,root of a plant,breed
1420,root (of a plant),courage,root of a plant,courage
1421,root (of a plant),family,root of a plant,family
1422,root (of a plant),mountain foot,root of a plant,mountain foot
1423,root (of a plant),origin,root of a plant,origin
1424,root (of a plant),root (arithmetic),root of a plant,root arithmetic
1425,root (of a plant),root of equation,root of a plant,root of equation
1426,root (of a plant),root of tooth,root of a plant,root of tooth
1427,"rope, string, cord, lashing","duty, responsibility",rope or string or cord or lashing,duty or responsibility
1428,"rope, string, cord, lashing",snake,rope or string or cord or lashing,snake
1429,"rope, string, cord, lashing",split (gymnastics),rope or string or cord or lashing,split gymnastics
1430,"rope, string, cord, lashing",unit of length,rope or string or cord or lashing,unit of length
1431,rose,erysipelas,rose,erysipelas
1432,rotten,lazy,rotten,lazy
1433,rotten,unreliable,rotten,unreliable
1434,"rough, uneven",difficult,rough or uneven,difficult
1435,"rough, uneven","rude, impolite",rough or uneven,rude or impolite
1436,"rough, uneven",sour,rough or uneven,sour
1437,round (adj.),entire,round ,entire
1438,round (adj.),lovely,round ,lovely
1439,ruff,ruff (bird),ruff,ruff bird
1440,ruff,ruff (fish),ruff,ruff fish
1441,runner,millstone,runner,millstone
1442,runner,shuttle (weaving instrument),runner,shuttle weaving instrument
1443,rural,vulgar,rural,vulgar
1444,rust (n.),defect,rust ,defect
1445,rusty,bad,rusty,bad
1446,"sack, bag",head,sack or bag,head
1447,"sack, bag",scrotum,sack or bag,scrotum
1448,sacred,sacrum (bone),sacred,sacrum bone
1449,saddle,saddleback,saddle,saddleback
1450,saint,"devil, satan",saint,devil or satan
1451,salt,"meaning, sense",salt,meaning or sense
1452,salt,sea,salt,sea
1453,sand,coast,sand,coast
1454,sand,"many, much",sand,many or much
1455,sated by food,drunk,sated by food,drunk
1456,sated by food,to be fed up with,sated by food,to be fed up with
1457,"satiated, full",insolent,satiated or full,insolent
1458,"satiated, full",rich,satiated or full,rich
1459,"satiated, full",saturated (with something),satiated or full,saturated with something
1460,"satiated, full",to be sure,satiated or full,to be sure
1461,saw,"mountain ridge, edge",saw,mountain ridge or edge
1462,"scales,  weighing machine",testicle,scales or  weighing machine,testicle
1463,"scanty, not numerous",low (social),scanty or not numerous,low social
1464,"scanty, not numerous",stupid,scanty or not numerous,stupid
1465,"scanty, not numerous",tasteless,scanty or not numerous,tasteless
1466,scorpion,hand (of a clock),scorpion,hand of a clock
1467,"screw, screw-bolt","joint, articulation",screw or screw bolt,joint or articulation
1468,sediment,lumpen,sediment,lumpen
1469,sediment,something bad,sediment,something bad
1470,servant,I,servant,I
1471,servant,jack (playing card),servant,jack playing card
1472,shadow,"phantom, ghost",shadow,phantom or ghost
1473,shadow,"protection, patronage",shadow,protection or patronage
1474,shadow,"reflection (in the mirror, water)",shadow,reflection in the mirror or water
1475,shadow theatre,cinema,shadow theater,cinema
1476,shallow,light (of colour),shallow,light of color
1477,shallow,poor,shallow,poor
1478,shame,genitalia,shame,genitalia
1479,"shape, form","figure, stature",shape or form,figure or stature
1480,shapeless,"ugly, unpleasant",shapeless,ugly or unpleasant
1481,sharp,acute (of sound),sharp,acute of sound
1482,sharp,angry,sharp,angry
1483,sharp,bad,sharp,bad
1484,sharp,bitter,sharp,bitter
1485,sharp,clever,sharp,clever
1486,sharp,dangerous,sharp,dangerous
1487,sharp,hot,sharp,hot
1488,sharp,iron,sharp,iron
1489,sharp,keen (of senses),sharp,keen of senses
1490,sharp,passionate,sharp,passionate
1491,sharp,pungent (odour),sharp,pungent odor
1492,sharp,sad,sharp,sad
1493,sharp,severe,sharp,severe
1494,sharp,severe (about pain),sharp,severe about pain
1495,sharp,sharpshooter,sharp,sharpshooter
1496,sharp,spicy,sharp,spicy
1497,sharp,steep,sharp,steep
1498,sharp,strong,sharp,strong
1499,sharp,strong (of liquid or smell),sharp,strong of liquid or smell
1500,sharp,valid,sharp,valid
1501,sharp point,boss,sharp point,boss
1502,sharpshooter,clever,sharpshooter,clever
1503,sheep,"kind, good-hearted",sheep,kind or good hearted
1504,shell,money,shell,money
1505,shell,sink (basin for holding water for washing),shell,sink basin for holding water for washing
1506,shell,spoon,shell,spoon
1507,shepherd,fool,shepherd,fool
1508,shield,plaice (fish),shield,plaice fish
1509,shoal,troop (of animals),shoal,troop of animals
1510,shooter,bishop (chess),shooter,bishop chess
1511,short (size),brief,short size,brief
1512,short (size),"missing, failing",short size,missing or failing
1513,short (size),poor,short size,poor
1514,shoulder,branch (of a river),shoulder,branch of a river
1515,shoulder,degree (unit of measurement),shoulder,degree unit of measurement
1516,shoulder,"help, aid (n.)",shoulder,help or aid 
1517,shoulder,mountain slope,shoulder,mountain slope
1518,shoulder,support (n.),shoulder,support 
1519,"shout, scream",unit of length,shout or scream,unit of length
1520,"shrimp, prawn",clove (of a garlic),shrimp or prawn,clove of a garlic
1521,shuttle (weaving instrument),geometrid,shuttle weaving instrument,
1522,shuttle (weaving instrument),shuttle (in a sewing machine),shuttle weaving instrument,shuttle in a sewing machine
1523,sickle,July,sickle,July
1524,sickle,harvest time,sickle,harvest time
1525,side (n.),cheek,side ,cheek
1526,side (n.),"country, land",side ,country or land
1527,side (n.),page,side ,page
1528,side (n.),political party,side ,political party
1529,sieve (n.),pure,sieve ,pure
1530,"sign, designation","betrothal, engagement",sign or designation,betrothal or engagement
1531,"sign, designation",genitalia,sign or designation,genitalia
1532,"sign, designation",miracle,sign or designation,miracle
1533,silver,bear (Ursus),silver,bear 
1534,silver,nickel,silver,nickel
1535,silver,tin (n.),silver,tin 
1536,simple,stupid,simple,stupid
1537,simultaneously,immediately,simultaneously,immediately
1538,sin,foreskin,sin,foreskin
1539,sin,misfortune,sin,misfortune
1540,single-eyed,squint-eyed,single eyed,squint eyed
1541,sizing tool,"rule, regulations",sizing tool,rule or regulations
1542,skin (of a person),torso,skin of a person,torso
1543,skirt,whore,skirt,whore
1544,skirt,woman,skirt,woman
1545,sky,bed canopy,sky,bed canopy
1546,sky,dead (adj.),sky,dead 
1547,sky,destiny,sky,destiny
1548,sleeve,branch (of a river),sleeve,branch of a river
1549,slow (adj.),meek,slow ,meek
1550,slow (adj.),stupid,slow ,stupid
1551,smell (n.),fame,smell ,fame
1552,smell (n.),"perfume, scent",smell ,perfume or scent
1553,smoke,abberation of mind,smoke,abberation of mind
1554,smoke,arrogance,smoke,arrogance
1555,smoke,dust,smoke,dust
1556,smoke,house,smoke,house
1557,smooth,thick,smooth,thick
1558,snail,spiral,snail,spiral
1559,snake,eel (Anguilla anguilla),snake,eel  
1560,snake,"guileful, crafty person",snake,guileful or crafty person
1561,snake,hose,snake,hose
1562,snake,lamprey (Petromyzontidae),snake,lamprey 
1563,snake,otter (Lutra lutra),snake,otter otter otter
1564,snake,queue,snake,queue
1565,sod (stratum of soil),oath,sod stratum of soil,oath
1566,soft (adj.),coward,soft ,coward
1567,soft (adj.),lenient,soft ,lenient
1568,soft (adj.),not strong (of liquid or smell),soft ,not strong of liquid or smell
1569,soft (adj.),quiet (vs. loud),soft ,quiet 
1570,soft (adj.),tasteless,soft ,tasteless
1571,soft (adj.),tender (adj.),soft ,tender 
1572,soldier,jack (playing card),soldier,jack playing card
1573,soldier,pawn (in chess),soldier,pawn in chess
1574,soldier,police officer,soldier,police officer
1575,soldier,"soldier (plan, Stratiotes)",soldier,soldier plan or 
1576,"sole, unique",best,sole or unique,best
1577,son,soldier,son,soldier
1578,soon,almost,soon,almost
1579,soul,butterfly,soul,butterfly
1580,soul,person,soul,person
1581,soul,"phantom, ghost",soul,phantom or ghost
1582,sound,fame,sound,fame
1583,sour,angry,sour,angry
1584,sour,proud,sour,proud
1585,sour,sad,sour,sad
1586,south,front part,south,front part
1587,"spade, shovel",oar,spade or shovel,oar
1588,"spade, shovel","shoulder-blade, scapula",spade or shovel,shoulder blade or scapula
1589,spark,firefly,spark,firefly
1590,spear,arrow,spear,arrow
1591,spear,bullet,spear,bullet
1592,spear,sting (n.),spear,sting 
1593,spear,sword,spear,sword
1594,sphere; ball,bullet,sphere; ball,bullet
1595,spicy,sad,spicy,sad
1596,spindle,dragonfly,spindle,dragonfly
1597,spool,shuttle (weaving instrument),spool,shuttle weaving instrument
1598,spoon,tadpole,spoon,tadpole
1599,"spot, stain",disgrace,spot or stain,disgrace
1600,"spot, stain",place,spot or stain,place
1601,spring (season),summer,spring season,summer
1602,"spring, fountain",origin,spring or fountain,origin
1603,spruce (Picea),horsetail,spruce ,horsetail
1604,square (geometrical),diamonds (in cards),square geometrical,diamonds in cards
1605,squirrel (Sciurus),ladybird,squirrel ,ladybird
1606,squirrel (Sciurus),weasel (Mustella nivalis),squirrel ,weasel  nivalis
1607,stairs,stirrup,stairs,stirrup
1608,stammerer,fool,stammerer,fool
1609,star,North,star,North
1610,star,celebrity,star,celebrity
1611,star,destiny,star,destiny
1612,star,kite (lightweight toy),star,kite lightweight toy
1613,star,letter (character),star,letter character
1614,star,starfish,star,starfish
1615,state (condition),state (sovereign polity),state condition,state sovereign polity
1616,"steam, vapour",sweat,steam or vapor,sweat
1617,steep,insolent,steep,insolent
1618,stem (of a plant),"handle, gripe",stem of a plant,handle or gripe
1619,stem (of a plant),strain (microbiology),stem of a plant,strain microbiology
1620,"step (of a staircase, step-ladder)","stage, phase",step of a staircase or step ladder,stage or phase
1621,"step, pace",move (board games),step or pace,move board games
1622,"step, pace",unit of length,step or pace,unit of length
1623,stepson,sucker (botany),stepson,sucker botany
1624,stick (n.),punishment,stick ,punishment
1625,stick (n.),unit of length,stick ,unit of length
1626,still (adv.),nevertheless,still ,nevertheless
1627,sting (n.),penis,sting ,penis
1628,stomach,appetite,stomach,appetite
1629,stone (material),glass (material),stone material,glass material
1630,stone (material),sky,stone material,sky
1631,stone (of a fruit),"cause, reason",stone of a fruit,cause or reason
1632,stone (of a fruit),secret (n),stone of a fruit,secret n
1633,stone (piece of rock),balance weight on scale,stone piece of rock,balance weight on scale
1634,stone (piece of rock),bullet,stone piece of rock,bullet
1635,stone (piece of rock),colour,stone piece of rock,color
1636,stone (piece of rock),fool,stone piece of rock,fool
1637,stone (piece of rock),hail,stone piece of rock,hail
1638,stone (piece of rock),prison,stone piece of rock,prison
1639,stone (piece of rock),stone (of a fruit),stone piece of rock,stone of a fruit
1640,stone (piece of rock),testicle,stone piece of rock,testicle
1641,"stopper, plug",baby,stopper or plug,baby
1642,"stopper, plug",traffic jam,stopper or plug,traffic jam
1643,storehouse; depo,shop,storehouse; depo,shop
1644,stork (Ciconia),tall person,stork ,tall person
1645,storm,epidemic,storm,epidemic
1646,storm,scandal,storm,scandal
1647,storm,winter,storm,winter
1648,straight,correct (adj.),straight,correct 
1649,straight,honest,straight,honest
1650,straight,right (vs. left),straight,right 
1651,straight,to succeed,straight,to succeed
1652,strange,funny,strange,funny
1653,"stranger, foreign",strange,stranger or foreign,strange
1654,straw,penis,straw,penis
1655,street,whore,street,whore
1656,strength,army,strength,army
1657,string (of a musical instrument),chord (music),string of a musical instrument,chord music
1658,strong,clever,strong,clever
1659,strong,good,strong,good
1660,strong,husband,strong,husband
1661,strong,influential person,strong,influential person
1662,strong,noble,strong,noble
1663,strong,numerous,strong,numerous
1664,strong,strong (of liquid or smell),strong,strong of liquid or smell
1665,strong,very,strong,very
1666,stump (of tree),fool,stump of tree,fool
1667,stump (of tree),share; stock,stump of tree,share; stock
1668,sulfur,match (for fire),sulfur,match for fire
1669,summer,year,summer,year
1670,sun,Sunday,sun,Sunday
1671,sun,day,sun,day
1672,sun,east,sun,east
1673,sun,father,sun,father
1674,sun,"happiness, luck",sun,happiness or luck
1675,sun,sunflower,sun,sunflower
1676,sun,"watch, clock",sun,watch or clock
1677,sunflower,influential person,sunflower,influential person
1678,swallow (bird),shuttle (weaving instrument),swallow bird,shuttle weaving instrument
1679,sweat,blood,sweat,blood
1680,sweat,forehead,sweat,forehead
1681,sweat,work (n.),sweat,work 
1682,sweet (taste),fresh (of water),sweet taste,fresh of water
1683,sweet (taste),lovely,sweet taste,lovely
1684,sweet (taste),own (of a relative),sweet taste,own of a relative
1685,sweet (taste),to be indulgent,sweet taste,to be indulgent
1686,sweet potato (Ipomoea batatas),potato,sweet potato  batatas,potato
1687,"sweet-smelling, fragrant",good,sweet smelling or fragrant,good
1688,sweetheart,wife,sweetheart,wife
1689,swelling (on skin),potato,swelling on skin,potato
1690,sword,"plough, ard",sword,plow or ard
1691,syllable,byte,syllable,byte
1692,table; desk,flat (adj),table; desk,flat 
1693,table; desk,meal (process),table; desk,meal process
1694,tail,accomplice,tail,accomplice
1695,tail,behind,tail,behind
1696,tail,branch (of a river),tail,branch of a river
1697,tail,consequence,tail,consequence
1698,tail,"handle, gripe",tail,handle or gripe
1699,tail,navel,tail,navel
1700,tail,penis,tail,penis
1701,tail,"plait, braid",tail,plait or braid
1702,tail,queue,tail,queue
1703,tail,rear end,tail,rear end
1704,tail,scarf,tail,scarf
1705,tail,stem (of a plant),tail,stem of a plant
1706,tail,to follow logically,tail,to follow logically
1707,tail fat (of sheep),hearts (in cards),tail fat of sheep,hearts in cards
1708,tailed,"witch, sorceress",tailed,witch or sorceress
1709,tailor's thimble,foxglove (Digitalis L.),tailor's thimble,foxglove digitalis L
1710,tambourine,diamonds (in cards),tambourine,diamonds in cards
1711,tank (closed container for liquids),tank (armour),tank closed container for liquids,tank armor
1712,tart (taste),gloomy,tart taste,gloomy
1713,taste (n.),aesthetic perception,taste ,aesthetic perception
1714,taste (n.),inclination to smth,taste ,inclination to 
1715,taste (n.),intellect,taste ,intellect
1716,taste (n.),"profit, gain (n.)",taste ,profit or gain 
1717,taste (n.),smell (n.),taste ,smell 
1718,tasteless,boring,tasteless,boring
1719,tea,gratuity,tea,gratuity
1720,teacher,"doctor, physician",teacher,doctor or physician
1721,term of address to a married woman,queen (playing card),term of address to a married woman,queen playing card
1722,there,then,there,then
1723,thick,"bass, low-pitched voice",thick,bass or low pitched voice
1724,thick,"dense, thick (liquid)",thick,dense or thick liquid
1725,thick,difficult,thick,difficult
1726,thick,loud,thick,loud
1727,thick,"rough, uneven",thick,rough or uneven
1728,thick,strong (of liquid or smell),thick,strong of liquid or smell
1729,thick,stupid,thick,stupid
1730,thick,"thick (of a growth, hair)",thick,thick of a growth or hair
1731,"thick (of a growth, hair)","bass, low-pitched voice",thick of a growth or hair,bass or low pitched voice
1732,"thick (of a growth, hair)",intensive,thick of a growth or hair,intensive
1733,thin (of an object),coward,thin of an object,coward
1734,thin (of an object),"delicate, subtle (person, question etc.)",thin of an object,delicate or subtle person or question 
1735,thin (of an object),high-pitched,thin of an object,high pitched
1736,thin (of an object),keen (of senses),thin of an object,keen of senses
1737,thin (of an object),light (of colour),thin of an object,light of color
1738,thin (of an object),sparse,thin of an object,sparse
1739,thin (of an object),young,thin of an object,young
1740,thing,genitalia,thing,genitalia
1741,"this way, like this",yes,this way or like this,yes
1742,thousand,"many, much",thousand,many or much
1743,three times,very,three times,very
1744,threshold,limit,threshold,limit
1745,threshold,rapids,threshold,rapids
1746,throat,barrel (of a gun),throat,barrel of a gun
1747,throat,branch (of a river),throat,branch of a river
1748,throat,eater,throat,eater
1749,throat,mouth (of a river),throat,mouth of a river
1750,throat,neck (of bottle etc.),throat,neck of bottle 
1751,throat,ravine,throat,ravine
1752,thrush,coward,thrush,coward
1753,tick (Acarina),castor bean (Ricinus communis),tick ,castor bean  communis
1754,tiger,"power, authority",tiger,power or authority
1755,time,"one time, once",time,one time or once
1756,tin (n.),cataract (of the eye),tin ,cataract of the eye
1757,tin (n.),"tin, can",tin ,tin or can
1758,to accompany (music),to express agreement,to accompany music,to express agreement
1759,to ache,to run,to ache,to run
1760,to add,"to inform, let know",to add,to inform or let know
1761,"to adorn, decorate",to boast,to adorn or decorate,to boast
1762,"to adorn, decorate","to decorate, award",to adorn or decorate,to decorate or award
1763,"to adorn, decorate",to marry off (a daughter),to adorn or decorate,to marry off a daughter
1764,to anchor,to choose,to anchor,to choose
1765,to answer,to be responsible for,to answer,to be responsible for
1766,to answer,to correspond,to answer,to correspond
1767,"to approach, come near",to begin (tr.),to approach or come near,to begin 
1768,"to approach, come near",to experience an orgasm,to approach or come near,to experience an orgasm
1769,to arrange into a line,poetry,to arrange into a line,poetry
1770,to ask (for),to ask for consent to marriage,to ask for,to ask for consent to marriage
1771,to ask (for),"to ask, inquire",to ask for,to ask or inquire
1772,to ask (for),to pray,to ask for,to pray
1773,"to ask, inquire",to teach,to ask or inquire,to teach
1774,"to ask, inquire",to torture,to ask or inquire,to torture
1775,to awaken,to cause,to awaken,to cause
1776,to baptize,to dilute,to baptize,to dilute
1777,to bark (of a dog),to quarrel,to bark of a dog,to quarrel
1778,to bark (of a dog),to shout,to bark of a dog,to shout
1779,to bark (of a dog),to tell lie,to bark of a dog,to tell lie
1780,to be alike,to get along (with smb.),to be alike,to get along with 
1781,to be angry,"to revolt, rebel",to be angry,to revolt or rebel
1782,to be ashamed,to respect,to be ashamed,to respect
1783,to be at war,to quarrel,to be at war,to quarrel
1784,to be awake,ambush,to be awake,ambush
1785,to be awake,to guard,to be awake,to guard
1786,to be born,"people, nation",to be born,people or nation
1787,"to be busy, to act","commerce, business",to be busy or to act,commerce or business
1788,to be eager,to be jealous,to be eager,to be jealous
1789,to be enough,to cost,to be enough,to cost
1790,to be friends,to be keen of,to be friends,to be keen of
1791,to be in time,to ripen,to be in time,to ripen
1792,to be keen of,to grow numb,to be keen of,to grow numb
1793,to be separated,to die,to be separated,to die
1794,"to beat, hit",to attack,to beat or hit,to attack
1795,"to beat, hit",to be alike,to beat or hit,to be alike
1796,"to beat, hit",to be at war,to beat or hit,to be at war
1797,"to beat, hit",to be surprised,to beat or hit,to be surprised
1798,"to beat, hit",to bite,to beat or hit,to bite
1799,"to beat, hit",to break (tr.),to beat or hit,to break 
1800,"to beat, hit","to castrate, geld",to beat or hit,to castrate or geld
1801,"to beat, hit",to correspond,to beat or hit,to correspond
1802,"to beat, hit",to cough,to beat or hit,to cough
1803,"to beat, hit",to cut (tr.),to beat or hit,to cut 
1804,"to beat, hit",to drink,to beat or hit,to drink
1805,"to beat, hit",to felt,to beat or hit,to felt
1806,"to beat, hit",to flow,to beat or hit,to flow
1807,"to beat, hit",to forge,to beat or hit,to forge
1808,"to beat, hit",to kill,to beat or hit,to kill
1809,"to beat, hit","to mix, stir",to beat or hit,to mix or stir
1810,"to beat, hit",to move quickly,to beat or hit,to move quickly
1811,"to beat, hit",to play (a musical instrument),to beat or hit,to play a musical instrument
1812,"to beat, hit",to sleep,to beat or hit,to sleep
1813,"to beat, hit",to sound,to beat or hit,to sound
1814,"to beat, hit",to spawn,to beat or hit,to spawn
1815,"to beat, hit",to speak,to beat or hit,to speak
1816,"to beat, hit",to steal,to beat or hit,to steal
1817,"to beat, hit",to tell lie,to beat or hit,to tell lie
1818,"to beat, hit",to understand,to beat or hit,to understand
1819,"to beat, hit","to walk, wander",to beat or hit,to walk or wander
1820,"to beat, hit",to wash (clothes),to beat or hit,to wash clothes
1821,"to beat, hit",to win,to beat or hit,to win
1822,to become,"can, to be able",to become,can or to be able
1823,to become curved,to be angry,to become curved,to be angry
1824,to become deaf,to fail (of engine),to become deaf,to fail of engine
1825,to become dumb,to grow numb,to become dumb,to grow numb
1826,to become visible,to come,to become visible,to come
1827,to believe,to trust,to believe,to trust
1828,to bend,to deceive,to bend,to deceive
1829,to bend,to subjugate,to bend,to subjugate
1830,to bend,"to swear, curse",to bend,to swear or curse
1831,"to bend, bow (intr.)",tender (adj.),to bend or bow ,tender 
1832,"to bend, bow (intr.)",to be disposed towards,to bend or bow ,to be disposed towards
1833,"to bend, bow (intr.)",to decline from the route,to bend or bow ,to decline from the route
1834,"to bend, bow (intr.)",to obey,to bend or bow ,to obey
1835,to bind,to depend,to bind,to depend
1836,to bind,to enter into a contract,to bind,to enter into a contract
1837,to bind,to oblige,to bind,to oblige
1838,to bite,part,to bite,part
1839,to bite,to grieve (tr.),to bite,to grieve 
1840,to bite,to quarrel,to bite,to quarrel
1841,to blossom,to get mouldy (musty),to blossom,to get moldy musty
1842,to blossom,to succeed,to blossom,to succeed
1843,to blow,"to beat, hit",to blow,to beat or hit
1844,to blow,to deceive,to blow,to deceive
1845,to blow,to speak,to blow,to speak
1846,to blow,to spread (intr.),to blow,to spread 
1847,to blow off,to cancel,to blow off,to cancel
1848,to boil (intr.),"spring, fountain",to boil ,spring or fountain
1849,to boil (intr.),to be angry,to boil ,to be angry
1850,to boil (intr.),"to ferment, yeast",to boil ,to ferment or yeast
1851,to boil (intr.),to grow (plants),to boil ,to grow plants
1852,to boil (intr.),"to worry, be agitated",to boil ,to worry or be agitated
1853,"to braid, plait, weave",to copulate,to braid or plait or weave,to copulate
1854,"to braid, plait, weave",to tell lie,to braid or plait or weave,to tell lie
1855,to break (intr.),to be satisfied (sexually),to break ,to be satisfied sexually
1856,to break (tr.),split (gymnastics),to break ,split gymnastics
1857,to break (tr.),to ache,to break ,to ache
1858,to break (tr.),to be reluctant,to break ,to be reluctant
1859,to break (tr.),to change money,to break ,to change money
1860,to break (tr.),to confess,to break ,to confess
1861,to break (tr.),to depress,to break ,to depress
1862,to break (tr.),to dilute,to break ,to dilute
1863,to break (tr.),to divide into several parts,to break ,to divide into several parts
1864,to break (tr.),to fold (cloth),to break ,to fold cloth
1865,to break (tr.),to plough,to break ,to plow
1866,to break (tr.),to refute,to break ,to refute
1867,to break (tr.),"to slake (hunger, thirst)",to break ,to slake hunger or thirst
1868,to break (tr.),to stop doing smth.,to break ,to stop doing 
1869,to break (tr.),to subjugate,to break ,to subjugate
1870,to break (tr.),to win,to break ,to win
1871,to breathe,to rest,to breathe,to rest
1872,to breathe,wind,to breathe,wind
1873,to breathe heavily,to be ill,to breathe heavily,to be ill
1874,to bridle,to subjugate,to bridle,to subjugate
1875,to bring,to give birth,to bring,to give birth
1876,to bring,to sacrifice (relig.),to bring,to sacrifice 
1877,to burn (intr.),angry,to burn ,angry
1878,to burn (intr.),passionate,to burn ,passionate
1879,to burn (intr.),to be poisoned by fumes,to burn ,to be poisoned by fumes
1880,to burn (intr.),to fail,to burn ,to fail
1881,to burn (intr.),to grieve (intr.),to burn ,to grieve 
1882,to burn (intr.),to incur losses,to burn ,to incur losses
1883,to burn (intr.),to itch,to burn ,to itch
1884,to burn (intr.),to ripen,to burn ,to ripen
1885,to burn (intr.),to suffer,to burn ,to suffer
1886,to burn (tr.),frost,to burn ,frost
1887,"to burst, break",to die,to burst or break,to die
1888,"to burst, break",to get angry,to burst or break,to get angry
1889,to bury,"to destroy, annihilate",to bury,to destroy or annihilate
1890,to buy,to bribe,to buy,to bribe
1891,"to cackle, to cluck",to speak,to cackle or to cluck,to speak
1892,"to calculate, count",to have opinion,to calculate or count,to have opinion
1893,"to calculate, count",to take into account,to calculate or count,to take into account
1894,"to calculate, count",to tell,to calculate or count,to tell
1895,"to call (somebody), to call for",to cost,to call somebody or to call for,to cost
1896,"to call (somebody), to call for",to make a telephone call,to call somebody or to call for,to make a telephone call
1897,"to call (somebody), to call for",to name,to call somebody or to call for,to name
1898,to calm down,to pay,to calm down,to pay
1899,to carry,pregnant,to carry,pregnant
1900,to carry,to endure,to carry,to endure
1901,to carry,to lose,to carry,to lose
1902,"to castrate, geld",fat (adj.)(of a person),to castrate or geld,fat of a person
1903,to catch,to hunt,to catch,to hunt
1904,to catch up,to find,to catch up,to find
1905,to catch up,to understand,to catch up,to understand
1906,"to cause to want, desire",necessary,to cause to want or desire,necessary
1907,to change (tr.),to be unfaithful (to one's husband or wife),to change ,to be unfaithful to one's husband or wife
1908,to change (tr.),to distract,to change ,to distract
1909,to change (tr.),to shed hair or feathers,to change ,to shed hair or feathers
1910,to change money,to change (tr.),to change money,to change 
1911,"to check, test",to feel (an emotion),to check or test,to feel an emotion
1912,"to check, test","to fit, try on",to check or test,to fit or try on
1913,to chew,to explain,to chew,to explain
1914,to chew,to ignore,to chew,to ignore
1915,to chew,to oppress,to chew,to oppress
1916,to chew,to think,to chew,to think
1917,to choke,to vomit,to choke,to vomit
1918,to choose,good,to choose,good
1919,to clean,to baptize,to clean,to baptize
1920,to clean,"to castrate, geld",to clean,to castrate or geld
1921,to clean,"to cure, treat (medically)",to clean,to cure or treat medically
1922,to clean,to deceive,to clean,to deceive
1923,to clean,"to destroy, annihilate",to clean,to destroy or annihilate
1924,to clean,to investigate,to clean,to investigate
1925,to clean,to steal,to clean,to steal
1926,to clench fist,to roll up a trunk (of elephant),to clench fist,to roll up a trunk of elephant
1927,to close one's eyes,to die,to close one's eyes,to die
1928,to close one's eyes,to ignore,to close one's eyes,to ignore
1929,to clothe,to saddle,to clothe,to saddle
